Stimulus,ELP_N_morphs,Crowdsourced_Mean_Morpheme_Count,Crowdsourced_Raw_SD,Crowdsourced_Raw_Median,Crowdsourced_Min,Crowdsourced_Max,Crowdsourced_N,BLUP_Adjusted_Moprheme_Count,BLUP_Adjustment,Transparencey_Measures: ,Signed_Discrepancy_BLUP_minus_ELP,Absolute_Discrepancy,Transparency_Proximity_0_1,Undersegmentation,Oversegmentation,BLUP_Rounded,Item_Rest_Cor,Item_Rest_N
infringers,3.00,3.62,0.65,4.00,2.00,4.00,13.00,3.49,0.78,,0.49,0.49,0.67,0.00,0.49,3.00,0.53,13.00
installers,3.00,3.27,0.65,3.00,2.00,4.00,11.00,3.11,0.41,,0.11,0.11,0.90,0.00,0.11,3.00,0.59,11.00
involvements,4.00,3.36,0.50,3.00,3.00,4.00,11.00,3.15,0.45,,-0.85,0.85,0.54,0.85,0.00,3.00,0.37,11.00
irritates,3.00,2.60,0.84,2.00,2.00,4.00,10.00,2.56,-0.14,,-0.44,0.44,0.70,0.44,0.00,3.00,0.95,10.00
launderers,3.00,3.20,0.63,3.00,2.00,4.00,10.00,3.16,0.45,,0.16,0.16,0.86,0.00,0.16,3.00,0.89,10.00
ludicrousness,2.00,2.50,0.71,2.00,2.00,4.00,10.00,2.65,-0.06,,0.65,0.65,0.61,0.00,0.65,3.00,0.76,10.00
managers,3.00,2.90,0.74,3.00,2.00,4.00,10.00,2.82,0.11,,-0.18,0.18,0.85,0.18,0.00,3.00,0.77,10.00
migrations,4.00,2.91,0.94,3.00,1.00,4.00,11.00,2.93,0.23,,-1.07,1.07,0.48,1.07,0.00,3.00,0.74,11.00
morbidities,3.00,3.17,0.58,3.00,2.00,4.00,12.00,2.99,0.29,,-0.01,0.01,0.99,0.01,0.00,3.00,0.68,12.00
neutralizes,4.00,2.90,0.74,3.00,2.00,4.00,10.00,2.83,0.12,,-1.17,1.17,0.46,1.17,0.00,3.00,0.88,10.00
obligingly,3.00,3.36,0.92,3.00,2.00,5.00,11.00,3.21,0.51,,0.21,0.21,0.83,0.00,0.21,3.00,0.82,11.00
observatory,2.00,2.80,0.63,3.00,2.00,4.00,10.00,2.86,0.15,,0.86,0.86,0.54,0.00,0.86,3.00,0.81,10.00
overcharged,3.00,3.08,0.67,3.00,2.00,4.00,12.00,3.01,0.30,,0.01,0.01,0.99,0.00,0.01,3.00,0.57,12.00
overcrowded,3.00,3.17,0.39,3.00,3.00,4.00,12.00,3.12,0.42,,0.12,0.12,0.89,0.00,0.12,3.00,0.82,12.00
percentiles,4.00,3.40,0.70,3.50,2.00,4.00,10.00,3.11,0.40,,-0.89,0.89,0.53,0.89,0.00,3.00,0.77,10.00
perimeter,2.00,2.67,0.98,2.50,1.00,4.00,12.00,2.58,-0.12,,0.58,0.58,0.63,0.00,0.58,3.00,0.75,12.00
persistence,3.00,2.42,0.90,2.50,1.00,4.00,12.00,2.45,-0.25,,-0.55,0.55,0.65,0.55,0.00,2.00,0.72,12.00
pitilessly,3.00,3.38,0.52,3.00,3.00,4.00,8.00,3.06,0.36,,0.06,0.06,0.94,0.00,0.06,3.00,0.45,8.00
politician,2.00,2.75,0.87,2.50,2.00,4.00,12.00,2.68,-0.03,,0.68,0.68,0.60,0.00,0.68,3.00,0.82,12.00
progressively,4.00,3.25,0.87,3.00,1.00,4.00,12.00,3.27,0.56,,-0.73,0.73,0.58,0.73,0.00,3.00,0.80,12.00
reactionary,4.00,3.10,0.74,3.00,2.00,4.00,10.00,3.22,0.51,,-0.78,0.78,0.56,0.78,0.00,3.00,0.73,10.00
reappears,3.00,2.91,0.70,3.00,2.00,4.00,11.00,2.91,0.21,,-0.09,0.09,0.92,0.09,0.00,3.00,0.66,11.00
rebuilds,3.00,2.75,0.62,3.00,2.00,4.00,12.00,2.62,-0.08,,-0.38,0.38,0.73,0.38,0.00,3.00,0.53,12.00
reconstructed,4.00,3.36,0.67,3.00,2.00,4.00,11.00,3.22,0.52,,-0.78,0.78,0.56,0.78,0.00,3.00,0.90,11.00
refashioned,3.00,3.23,0.44,3.00,3.00,4.00,13.00,3.10,0.39,,0.10,0.10,0.91,0.00,0.10,3.00,0.83,13.00
reformation,3.00,3.44,0.73,4.00,2.00,4.00,9.00,3.30,0.59,,0.30,0.30,0.77,0.00,0.30,3.00,0.65,9.00
regionalism,3.00,2.82,0.87,3.00,1.00,4.00,11.00,2.85,0.14,,-0.15,0.15,0.87,0.15,0.00,3.00,0.73,11.00
reinforce,3.00,2.67,0.65,3.00,2.00,4.00,12.00,2.61,-0.10,,-0.39,0.39,0.72,0.39,0.00,3.00,0.87,12.00
reinvesting,4.00,3.58,0.51,4.00,3.00,4.00,12.00,3.35,0.65,,-0.65,0.65,0.61,0.65,0.00,3.00,0.69,12.00
relocates,3.00,3.17,0.72,3.00,2.00,4.00,12.00,3.08,0.38,,0.08,0.08,0.92,0.00,0.08,3.00,0.89,12.00
retirements,3.00,3.60,0.52,4.00,3.00,4.00,10.00,3.33,0.63,,0.33,0.33,0.75,0.00,0.33,3.00,0.61,10.00
ruination,2.00,2.70,0.67,3.00,2.00,4.00,10.00,2.67,-0.03,,0.67,0.67,0.60,0.00,0.67,3.00,0.70,10.00
selectors,3.00,3.00,0.74,3.00,2.00,4.00,12.00,2.84,0.13,,-0.16,0.16,0.86,0.16,0.00,3.00,0.77,12.00
semitone,2.00,2.08,0.79,2.00,1.00,4.00,12.00,2.14,-0.56,,0.14,0.14,0.88,0.00,0.14,2.00,0.84,12.00
specifics,3.00,2.42,0.79,2.00,1.00,4.00,12.00,2.47,-0.23,,-0.53,0.53,0.65,0.53,0.00,2.00,0.90,12.00
specifiers,4.00,3.25,0.75,3.00,2.00,4.00,12.00,3.08,0.38,,-0.92,0.92,0.52,0.92,0.00,3.00,0.72,12.00
splendidly,2.00,2.67,0.65,3.00,2.00,4.00,12.00,2.48,-0.22,,0.48,0.48,0.67,0.00,0.48,2.00,0.56,12.00
squeamishly,2.00,2.92,0.51,3.00,2.00,4.00,12.00,2.78,0.08,,0.78,0.78,0.56,0.00,0.78,3.00,0.80,12.00
studiousness,4.00,3.09,0.94,3.00,2.00,5.00,11.00,2.94,0.24,,-1.06,1.06,0.49,1.06,0.00,3.00,0.79,11.00
subprocesses,3.00,3.45,0.52,3.00,3.00,4.00,11.00,3.34,0.63,,0.34,0.34,0.75,0.00,0.34,3.00,0.40,11.00
supremacist,2.00,3.15,0.69,3.00,2.00,4.00,13.00,2.96,0.26,,0.96,0.96,0.51,0.00,0.96,3.00,0.77,13.00
terrorized,4.00,2.73,0.79,3.00,2.00,4.00,11.00,2.86,0.16,,-1.14,1.14,0.47,1.14,0.00,3.00,0.85,11.00
tobacconists,3.00,3.80,0.92,4.00,2.00,5.00,10.00,3.59,0.88,,0.59,0.59,0.63,0.00,0.59,4.00,0.68,10.00
tonsillitis,2.00,2.75,0.75,3.00,2.00,4.00,12.00,2.59,-0.12,,0.59,0.59,0.63,0.00,0.59,3.00,0.57,12.00
transgress,2.00,2.36,0.67,2.00,2.00,4.00,11.00,2.37,-0.33,,0.37,0.37,0.73,0.00,0.37,2.00,0.53,11.00
transphobia,2.00,2.56,0.88,3.00,1.00,4.00,9.00,2.68,-0.02,,0.68,0.68,0.59,0.00,0.68,3.00,0.82,9.00
unbearable,3.00,3.08,0.29,3.00,3.00,4.00,12.00,2.99,0.29,,-0.01,0.01,0.99,0.01,0.00,3.00,0.76,12.00
unbuckled,3.00,3.00,0.45,3.00,2.00,4.00,11.00,2.76,0.06,,-0.24,0.24,0.81,0.24,0.00,3.00,0.70,11.00
underlining,3.00,2.80,0.79,3.00,2.00,4.00,10.00,2.81,0.11,,-0.19,0.19,0.84,0.19,0.00,3.00,0.83,10.00
undershirts,3.00,3.00,0.47,3.00,2.00,4.00,10.00,2.90,0.20,,-0.10,0.10,0.91,0.10,0.00,3.00,0.77,10.00
underweight,3.00,2.40,0.70,2.00,2.00,4.00,10.00,2.36,-0.34,,-0.64,0.64,0.61,0.64,0.00,2.00,0.83,10.00
uninvolved,4.00,3.36,0.50,3.00,3.00,4.00,11.00,3.17,0.46,,-0.83,0.83,0.55,0.83,0.00,3.00,0.75,11.00
unreactive,4.00,3.00,0.43,3.00,2.00,4.00,12.00,2.74,0.03,,-1.26,1.26,0.44,1.26,0.00,3.00,0.62,12.00
vindication,3.00,3.00,1.00,3.00,2.00,4.00,9.00,2.76,0.05,,-0.24,0.24,0.81,0.24,0.00,3.00,0.87,9.00
abbreviating,4.00,3.25,1.29,4.00,1.00,5.00,12.00,3.19,0.49,,-0.81,0.81,0.55,0.81,0.00,3.00,0.74,12.00
architectures,3.00,3.30,0.95,3.00,2.00,5.00,10.00,3.28,0.58,,0.28,0.28,0.78,0.00,0.28,3.00,0.76,10.00
assassinated,3.00,3.67,0.89,4.00,2.00,5.00,12.00,3.47,0.76,,0.47,0.47,0.68,0.00,0.47,3.00,0.80,12.00
declarations,3.00,3.75,1.14,4.00,2.00,5.00,12.00,3.49,0.79,,0.49,0.49,0.67,0.00,0.49,3.00,0.82,12.00
demobilized,4.00,3.64,0.81,3.00,3.00,5.00,11.00,3.44,0.74,,-0.56,0.56,0.64,0.56,0.00,3.00,0.68,11.00
denuclearization,4.00,4.50,0.67,4.00,4.00,6.00,12.00,4.30,1.59,,0.30,0.30,0.77,0.00,0.30,4.00,0.87,12.00
desalinating,4.00,3.50,0.71,3.00,3.00,5.00,10.00,3.40,0.70,,-0.60,0.60,0.63,0.60,0.00,3.00,0.90,10.00
differentials,4.00,3.36,0.81,3.00,2.00,5.00,11.00,3.22,0.51,,-0.78,0.78,0.56,0.78,0.00,3.00,0.86,11.00
disembarkation,4.00,3.42,0.67,3.00,3.00,5.00,12.00,3.41,0.71,,-0.59,0.59,0.63,0.59,0.00,3.00,0.92,12.00
disinfectants,5.00,3.82,1.08,4.00,2.00,5.00,11.00,3.78,1.07,,-1.22,1.22,0.45,1.22,0.00,4.00,0.77,11.00
disobediently,4.00,3.70,0.82,3.50,3.00,5.00,10.00,3.61,0.90,,-0.39,0.39,0.72,0.39,0.00,4.00,0.83,10.00
enthusiastic,3.00,3.00,0.94,3.00,2.00,5.00,10.00,3.01,0.31,,0.01,0.01,0.99,0.00,0.01,3.00,0.85,10.00
eradicating,4.00,3.64,0.92,4.00,2.00,5.00,11.00,3.43,0.72,,-0.57,0.57,0.64,0.57,0.00,3.00,0.86,11.00
familiarity,2.00,3.08,0.90,3.00,2.00,5.00,12.00,2.92,0.21,,0.92,0.92,0.52,0.00,0.92,3.00,0.81,12.00
hospitalized,4.00,3.10,0.88,3.00,2.00,5.00,10.00,3.11,0.41,,-0.89,0.89,0.53,0.89,0.00,3.00,0.88,10.00
immorality,3.00,3.36,0.81,3.00,2.00,5.00,11.00,3.34,0.64,,0.34,0.34,0.74,0.00,0.34,3.00,0.74,11.00
improvisation,2.00,3.45,0.82,3.00,2.00,5.00,11.00,3.37,0.66,,1.37,1.37,0.42,0.00,1.37,3.00,0.80,11.00
influentials,3.00,3.42,1.00,3.50,1.00,5.00,12.00,3.30,0.60,,0.30,0.30,0.77,0.00,0.30,3.00,0.82,12.00
inhibitions,4.00,3.09,0.94,3.00,2.00,5.00,11.00,3.11,0.40,,-0.89,0.89,0.53,0.89,0.00,3.00,0.88,11.00
instigators,3.00,3.36,0.81,3.00,2.00,5.00,11.00,3.18,0.48,,0.18,0.18,0.85,0.00,0.18,3.00,0.91,11.00
interpretative,2.00,3.67,1.07,4.00,2.00,5.00,12.00,3.52,0.81,,1.52,1.52,0.40,0.00,1.52,4.00,0.76,12.00
liberalised,4.00,3.33,0.71,3.00,3.00,5.00,9.00,3.15,0.44,,-0.85,0.85,0.54,0.85,0.00,3.00,0.85,9.00
masturbatory,2.00,2.92,1.00,3.00,2.00,5.00,12.00,2.85,0.15,,0.85,0.85,0.54,0.00,0.85,3.00,0.72,12.00
micrometers,3.00,3.29,0.95,3.00,2.00,5.00,7.00,3.16,0.46,,0.16,0.16,0.86,0.00,0.16,3.00,0.87,7.00
microscopical,4.00,3.50,0.80,3.50,2.00,5.00,12.00,3.38,0.68,,-0.62,0.62,0.62,0.62,0.00,3.00,0.74,12.00
nonalignment,4.00,3.23,0.83,3.00,2.00,5.00,13.00,3.23,0.52,,-0.77,0.77,0.56,0.77,0.00,3.00,0.98,13.00
operationally,5.00,3.89,1.17,4.00,2.00,6.00,9.00,3.59,0.89,,-1.41,1.41,0.42,1.41,0.00,4.00,0.94,9.00
operatives,4.00,3.40,0.84,3.00,2.00,5.00,10.00,3.16,0.46,,-0.84,0.84,0.54,0.84,0.00,3.00,0.87,10.00
orchestrations,4.00,3.75,0.87,3.50,3.00,5.00,12.00,3.55,0.85,,-0.45,0.45,0.69,0.45,0.00,4.00,0.75,12.00
popularizes,4.00,3.30,1.06,3.00,2.00,5.00,10.00,3.20,0.50,,-0.80,0.80,0.56,0.80,0.00,3.00,0.67,10.00
preauthorized,3.00,3.36,0.67,3.00,3.00,5.00,11.00,3.32,0.61,,0.32,0.32,0.76,0.00,0.32,3.00,0.78,11.00
reanimated,4.00,3.45,1.04,3.00,2.00,5.00,11.00,3.36,0.65,,-0.64,0.64,0.61,0.64,0.00,3.00,0.88,11.00
recommissioned,3.00,4.00,0.95,4.00,3.00,5.00,12.00,3.83,1.12,,0.83,0.83,0.55,0.00,0.83,4.00,0.77,12.00
recreational,2.00,3.50,0.80,3.50,2.00,5.00,12.00,3.32,0.61,,1.32,1.32,0.43,0.00,1.32,3.00,0.86,12.00
reindoctrinating,5.00,4.36,1.03,5.00,3.00,6.00,11.00,4.09,1.38,,-0.91,0.91,0.52,0.91,0.00,4.00,0.78,11.00
reversibility,4.00,3.91,0.94,4.00,2.00,5.00,11.00,3.72,1.01,,-0.28,0.28,0.78,0.28,0.00,4.00,0.73,11.00
sedimentation,2.00,3.50,1.09,3.00,2.00,5.00,12.00,3.29,0.59,,1.29,1.29,0.44,0.00,1.29,3.00,0.87,12.00
segmentations,3.00,3.80,0.79,4.00,3.00,5.00,10.00,3.61,0.90,,0.61,0.61,0.62,0.00,0.61,4.00,0.79,10.00
stupidities,3.00,3.15,0.80,3.00,2.00,5.00,13.00,3.07,0.36,,0.07,0.07,0.94,0.00,0.07,3.00,0.76,13.00
substructures,4.00,3.36,1.03,3.00,2.00,5.00,11.00,3.29,0.58,,-0.71,0.71,0.58,0.71,0.00,3.00,0.81,11.00
transferable,3.00,2.82,0.87,3.00,2.00,5.00,11.00,2.86,0.15,,-0.14,0.14,0.88,0.14,0.00,3.00,0.84,11.00
tributaries,3.00,3.08,1.26,3.00,1.00,5.00,13.00,3.01,0.30,,0.01,0.01,0.99,0.00,0.01,3.00,0.71,13.00
undergarments,3.00,3.73,1.35,3.00,1.00,5.00,11.00,3.58,0.87,,0.58,0.58,0.63,0.00,0.58,4.00,0.76,11.00
unfortunates,4.00,3.33,0.87,3.00,2.00,5.00,9.00,3.28,0.57,,-0.72,0.72,0.58,0.72,0.00,3.00,0.75,9.00
unilateral,2.00,2.92,0.95,3.00,2.00,5.00,13.00,2.76,0.06,,0.76,0.76,0.57,0.00,0.76,3.00,0.94,13.00
unreasonably,4.00,3.44,0.73,3.00,3.00,5.00,9.00,3.39,0.69,,-0.61,0.61,0.62,0.61,0.00,3.00,0.70,9.00
accountability,3.00,3.82,1.17,3.00,3.00,6.00,11.00,3.55,0.85,,0.55,0.55,0.64,0.00,0.55,4.00,0.79,11.00
antagonistic,3.00,3.40,1.26,3.50,2.00,6.00,10.00,3.22,0.51,,0.22,0.22,0.82,0.00,0.22,3.00,0.94,10.00
counterinflationary,4.00,4.40,1.17,4.50,3.00,6.00,10.00,4.34,1.63,,0.34,0.34,0.75,0.00,0.34,4.00,0.61,10.00
degenerates,4.00,3.50,0.90,3.00,3.00,6.00,12.00,3.34,0.63,,-0.66,0.66,0.60,0.66,0.00,3.00,0.82,12.00
discontinuities,4.00,4.30,0.95,4.00,3.00,6.00,10.00,4.06,1.36,,0.06,0.06,0.94,0.00,0.06,4.00,0.85,10.00
disproportionately,5.00,4.18,1.17,4.00,3.00,6.00,11.00,4.13,1.42,,-0.87,0.87,0.53,0.87,0.00,4.00,0.61,11.00
inconsiderately,4.00,4.13,1.25,4.00,2.00,6.00,8.00,3.88,1.17,,-0.12,0.12,0.89,0.12,0.00,4.00,0.97,8.00
inseparability,4.00,3.83,1.11,4.00,2.00,6.00,12.00,3.71,1.00,,-0.29,0.29,0.77,0.29,0.00,4.00,0.70,12.00
intergovernmental,4.00,4.08,1.00,4.00,3.00,6.00,12.00,3.94,1.23,,-0.06,0.06,0.94,0.06,0.00,4.00,0.72,12.00
misinterpretation,3.00,3.92,1.00,4.00,3.00,6.00,12.00,3.95,1.24,,0.95,0.95,0.51,0.00,0.95,4.00,0.71,12.00
noncommunicable,2.00,4.08,1.26,4.00,2.00,6.00,13.00,3.96,1.25,,1.96,1.96,0.34,0.00,1.96,4.00,0.80,13.00
originators,4.00,3.92,1.31,4.00,2.00,6.00,12.00,3.68,0.98,,-0.32,0.32,0.76,0.32,0.00,4.00,0.90,12.00
preoccupations,4.00,3.79,0.97,4.00,2.00,6.00,14.00,3.69,0.99,,-0.31,0.31,0.76,0.31,0.00,4.00,0.76,14.00
supercontinents,3.00,3.73,1.10,4.00,2.00,6.00,11.00,3.50,0.80,,0.50,0.50,0.67,0.00,0.50,4.00,0.86,11.00
unapologetically,4.00,4.30,1.42,4.00,3.00,7.00,10.00,4.06,1.35,,0.06,0.06,0.94,0.00,0.06,4.00,0.89,10.00
fatal,2.00,1.70,0.48,2.00,1.00,2.00,10.00,1.54,-1.17,,-0.46,0.46,0.68,0.46,0.00,2.00,0.42,10.00
pussy,2.00,1.33,0.52,1.00,1.00,2.00,6.00,1.67,-1.03,,-0.33,0.33,0.75,0.33,0.00,2.00,-0.06,6.00
abortion,2.00,2.25,0.45,2.00,2.00,3.00,12.00,2.29,-0.42,,0.29,0.29,0.78,0.00,0.29,2.00,0.58,12.00
baptise,2.00,1.83,0.39,2.00,1.00,2.00,12.00,1.90,-0.81,,-0.10,0.10,0.91,0.10,0.00,2.00,0.35,12.00
bummers,3.00,1.89,0.60,2.00,1.00,3.00,9.00,2.08,-0.62,,-0.92,0.92,0.52,0.92,0.00,2.00,0.79,9.00
catcher,2.00,2.09,0.30,2.00,2.00,3.00,11.00,2.13,-0.57,,0.13,0.13,0.88,0.00,0.13,2.00,-0.23,11.00
coarsest,2.00,2.11,0.33,2.00,2.00,3.00,9.00,1.95,-0.75,,-0.05,0.05,0.95,0.05,0.00,2.00,0.41,9.00
colorless,2.00,2.15,0.38,2.00,2.00,3.00,13.00,2.32,-0.38,,0.32,0.32,0.76,0.00,0.32,2.00,0.37,13.00
compound,2.00,2.00,0.00,2.00,2.00,2.00,10.00,2.15,-0.56,,0.15,0.15,0.87,0.00,0.15,2.00,,10.00
cubical,3.00,2.09,0.83,2.00,1.00,3.00,11.00,2.27,-0.44,,-0.73,0.73,0.58,0.73,0.00,2.00,0.52,11.00
deathly,2.00,2.00,0.00,2.00,2.00,2.00,9.00,2.16,-0.55,,0.16,0.16,0.86,0.00,0.16,2.00,,9.00
demote,2.00,1.90,0.57,2.00,1.00,3.00,10.00,2.08,-0.62,,0.08,0.08,0.92,0.00,0.08,2.00,0.42,10.00
disjoint,3.00,1.89,0.33,2.00,1.00,2.00,9.00,2.27,-0.44,,-0.73,0.73,0.58,0.73,0.00,2.00,0.50,9.00
downturn,2.00,2.00,0.00,2.00,2.00,2.00,10.00,2.10,-0.61,,0.10,0.10,0.91,0.00,0.10,2.00,,10.00
evidential,3.00,2.78,0.83,3.00,2.00,4.00,9.00,2.75,0.04,,-0.25,0.25,0.80,0.25,0.00,3.00,-0.04,9.00
failure,2.00,1.89,0.33,2.00,1.00,2.00,9.00,1.87,-0.84,,-0.13,0.13,0.88,0.13,0.00,2.00,0.36,9.00
fatherless,2.00,2.30,0.48,2.00,2.00,3.00,10.00,2.13,-0.58,,0.13,0.13,0.89,0.00,0.13,2.00,-0.26,10.00
fonder,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.86,-0.85,,-0.14,0.14,0.88,0.14,0.00,2.00,,12.00
fourthly,3.00,2.27,0.65,2.00,1.00,3.00,11.00,2.35,-0.35,,-0.65,0.65,0.61,0.65,0.00,2.00,0.14,11.00
golfer,2.00,2.00,0.00,2.00,2.00,2.00,11.00,1.94,-0.76,,-0.06,0.06,0.95,0.06,0.00,2.00,,11.00
gravelly,2.00,2.20,0.63,2.00,1.00,3.00,10.00,2.39,-0.31,,0.39,0.39,0.72,0.00,0.39,2.00,0.42,10.00
grievous,2.00,1.92,0.28,2.00,1.00,2.00,13.00,1.91,-0.79,,-0.09,0.09,0.92,0.09,0.00,2.00,0.33,13.00
grumbler,2.00,2.08,0.51,2.00,1.00,3.00,12.00,2.21,-0.50,,0.21,0.21,0.83,0.00,0.21,2.00,0.70,12.00
healer,2.00,2.00,0.00,2.00,2.00,2.00,9.00,1.93,-0.78,,-0.07,0.07,0.93,0.07,0.00,2.00,,9.00
hourly,2.00,1.92,0.29,2.00,1.00,2.00,12.00,1.83,-0.87,,-0.17,0.17,0.86,0.17,0.00,2.00,0.58,12.00
hypnotise,3.00,2.23,0.60,2.00,1.00,3.00,13.00,2.31,-0.40,,-0.69,0.69,0.59,0.69,0.00,2.00,0.49,13.00
ignitor,2.00,2.00,0.82,2.00,1.00,3.00,13.00,2.11,-0.60,,0.11,0.11,0.90,0.00,0.11,2.00,0.64,13.00
inshore,2.00,2.00,0.00,2.00,2.00,2.00,11.00,2.07,-0.63,,0.07,0.07,0.93,0.00,0.07,2.00,,11.00
lowly,2.00,1.91,0.30,2.00,1.00,2.00,11.00,2.04,-0.67,,0.04,0.04,0.96,0.00,0.04,2.00,0.68,11.00
mover,2.00,1.93,0.27,2.00,1.00,2.00,14.00,2.00,-0.70,,0.00,0.00,1.00,0.00,0.00,2.00,0.65,14.00
naturalize,3.00,2.45,0.69,2.00,2.00,4.00,11.00,2.47,-0.24,,-0.53,0.53,0.65,0.53,0.00,2.00,0.64,11.00
outlast,2.00,2.00,0.00,2.00,2.00,2.00,10.00,1.91,-0.79,,-0.09,0.09,0.92,0.09,0.00,2.00,,10.00
overfeed,2.00,2.20,0.42,2.00,2.00,3.00,10.00,2.25,-0.46,,0.25,0.25,0.80,0.00,0.25,2.00,0.47,10.00
overfill,2.00,2.00,0.00,2.00,2.00,2.00,11.00,2.03,-0.67,,0.03,0.03,0.97,0.00,0.03,2.00,,11.00
overreach,2.00,1.91,0.30,2.00,1.00,2.00,11.00,1.97,-0.74,,-0.03,0.03,0.97,0.03,0.00,2.00,0.21,11.00
peaceful,2.00,1.91,0.30,2.00,1.00,2.00,11.00,1.98,-0.73,,-0.02,0.02,0.98,0.02,0.00,2.00,0.48,11.00
pimply,2.00,1.92,0.29,2.00,1.00,2.00,12.00,1.95,-0.75,,-0.05,0.05,0.96,0.05,0.00,2.00,0.10,12.00
pollster,2.00,2.20,0.42,2.00,2.00,3.00,10.00,2.22,-0.48,,0.22,0.22,0.82,0.00,0.22,2.00,-0.21,10.00
portable,2.00,2.00,0.00,2.00,2.00,2.00,11.00,2.01,-0.70,,0.01,0.01,0.99,0.00,0.01,2.00,,11.00
prefix,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.89,-0.82,,-0.11,0.11,0.90,0.11,0.00,2.00,,12.00
promiscuous,2.00,2.09,0.70,2.00,1.00,3.00,11.00,2.27,-0.43,,0.27,0.27,0.79,0.00,0.27,2.00,0.15,11.00
realism,2.00,2.45,0.52,2.00,2.00,3.00,11.00,2.30,-0.41,,0.30,0.30,0.77,0.00,0.30,2.00,0.30,11.00
roamer,2.00,2.00,0.00,2.00,2.00,2.00,11.00,1.89,-0.82,,-0.11,0.11,0.90,0.11,0.00,2.00,,11.00
saintly,2.00,2.00,0.00,2.00,2.00,2.00,13.00,2.06,-0.65,,0.06,0.06,0.95,0.00,0.06,2.00,,13.00
scientific,3.00,2.40,0.84,2.00,1.00,4.00,10.00,2.40,-0.30,,-0.60,0.60,0.63,0.60,0.00,2.00,-0.05,10.00
sculptured,3.00,2.56,0.53,3.00,2.00,3.00,9.00,2.51,-0.19,,-0.49,0.49,0.67,0.49,0.00,3.00,0.50,9.00
sharpest,2.00,2.00,0.00,2.00,2.00,2.00,10.00,1.86,-0.84,,-0.14,0.14,0.88,0.14,0.00,2.00,,10.00
skimmer,2.00,1.91,0.30,2.00,1.00,2.00,11.00,1.98,-0.72,,-0.02,0.02,0.98,0.02,0.00,2.00,0.33,11.00
slithery,2.00,2.36,0.50,2.00,2.00,3.00,11.00,2.29,-0.42,,0.29,0.29,0.78,0.00,0.29,2.00,0.65,11.00
sloppy,2.00,1.83,0.39,2.00,1.00,2.00,12.00,1.94,-0.76,,-0.06,0.06,0.95,0.06,0.00,2.00,0.40,12.00
soberer,2.00,2.20,0.42,2.00,2.00,3.00,10.00,2.13,-0.58,,0.13,0.13,0.89,0.00,0.13,2.00,0.42,10.00
solver,2.00,2.00,0.00,2.00,2.00,2.00,11.00,1.92,-0.78,,-0.08,0.08,0.93,0.08,0.00,2.00,,11.00
speller,2.00,1.89,0.33,2.00,1.00,2.00,9.00,1.93,-0.77,,-0.07,0.07,0.94,0.07,0.00,2.00,0.47,9.00
spunky,2.00,2.09,0.30,2.00,2.00,3.00,11.00,2.03,-0.68,,0.03,0.03,0.97,0.00,0.03,2.00,-0.23,11.00
surely,2.00,2.00,0.00,2.00,2.00,2.00,12.00,2.04,-0.67,,0.04,0.04,0.97,0.00,0.04,2.00,,12.00
surest,2.00,2.08,0.29,2.00,2.00,3.00,12.00,2.12,-0.59,,0.12,0.12,0.90,0.00,0.12,2.00,-0.14,12.00
sweeter,2.00,1.82,0.40,2.00,1.00,2.00,11.00,1.85,-0.86,,-0.15,0.15,0.87,0.15,0.00,2.00,0.69,11.00
tallish,2.00,2.00,0.00,2.00,2.00,2.00,10.00,2.01,-0.69,,0.01,0.01,0.99,0.00,0.01,2.00,,10.00
tracer,2.00,2.08,0.76,2.00,1.00,4.00,13.00,2.27,-0.43,,0.27,0.27,0.79,0.00,0.27,2.00,0.17,13.00
underwear,2.00,2.30,0.48,2.00,2.00,3.00,10.00,2.19,-0.51,,0.19,0.19,0.84,0.00,0.19,2.00,0.53,10.00
uniform,2.00,1.92,0.51,2.00,1.00,3.00,12.00,2.06,-0.65,,0.06,0.06,0.95,0.00,0.06,2.00,-0.05,12.00
upriver,2.00,2.10,0.32,2.00,2.00,3.00,10.00,2.13,-0.58,,0.13,0.13,0.89,0.00,0.13,2.00,0.52,10.00
voltage,2.00,2.00,0.00,2.00,2.00,2.00,11.00,2.14,-0.57,,0.14,0.14,0.88,0.00,0.14,2.00,,11.00
whiner,2.00,2.00,0.00,2.00,2.00,2.00,10.00,2.08,-0.63,,0.08,0.08,0.93,0.00,0.08,2.00,,10.00
widened,3.00,2.50,0.53,2.50,2.00,3.00,10.00,2.55,-0.15,,-0.45,0.45,0.69,0.45,0.00,3.00,0.39,10.00
wrongly,2.00,2.00,0.00,2.00,2.00,2.00,11.00,2.03,-0.67,,0.03,0.03,0.97,0.00,0.03,2.00,,11.00
additional,3.00,2.85,1.07,3.00,1.00,4.00,13.00,2.93,0.23,,-0.07,0.07,0.94,0.07,0.00,3.00,0.71,13.00
adventurous,4.00,2.80,0.79,3.00,2.00,4.00,10.00,2.86,0.15,,-1.14,1.14,0.47,1.14,0.00,3.00,0.66,10.00
adversely,2.00,2.90,0.32,3.00,2.00,3.00,10.00,2.84,0.13,,0.84,0.84,0.54,0.00,0.84,3.00,0.44,10.00
